AgS,ReT,Temp,pH,rpm,AdC,Ce,qe
Aged,PE,25.0,,,Mixed,3.48132,0.16498337
Aged,PE,25.0,,,Mixed,5.07248,0.18192875
Virgin,TPU,,,100.0,Single-ion,2.09389,0.11454
Virgin,TPU,,,100.0,Single-ion,4.45659,0.18561
Virgin,TPU,,,100.0,Single-ion,6.72085,0.24878
Virgin,TPU,,,100.0,Single-ion,9.05893,0.27868
Virgin,TPU,,,100.0,Single-ion,13.80895,0.34185
Virgin,TPU,,,100.0,Single-ion,18.70662,0.37062
Virgin,TPU,,,100.0,Single-ion,28.69887,0.39261
Virgin,TPU,,,100.0,Single-ion,38.61729,0.38641
Virgin,TPU,,,100.0,Single-ion,48.56032,0.3802
Aged,TPU,,,100.0,Single-ion,2.04467,0.18392
Aged,TPU,,,100.0,Single-ion,4.30892,0.23638
Aged,TPU,,,100.0,Single-ion,6.52396,0.28375
Aged,TPU,,,100.0,Single-ion,8.86204,0.32606
Aged,TPU,,,100.0,Single-ion,13.75972,0.40389
Aged,TPU,,,100.0,Single-ion,18.50973,0.43548
Aged,TPU,,,100.0,Single-ion,28.42815,0.46989
Aged,TPU,,,100.0,Single-ion,38.34656,0.47778
Aged,TPU,,,100.0,Single-ion,48.26498,0.48568
Virgin,TPU,,,100.0,Mixed,2.04467,0.1114
Virgin,TPU,,,100.0,Mixed,3.89053,0.2361
Virgin,TPU,,,100.0,Mixed,6.30245,0.29282
Virgin,TPU,,,100.0,Mixed,8.78821,0.32433
Virgin,TPU,,,100.0,Mixed,13.53822,0.39276
Virgin,TPU,,,100.0,Mixed,18.28823,0.45939
Virgin,TPU,,,100.0,Mixed,28.35431,0.4819
Virgin,TPU,,,100.0,Mixed,38.22351,0.4936
Virgin,TPU,,,100.0,Mixed,47.99425,0.53502
Aged,TPU,,,100.0,Mixed,1.70011,0.21854
Aged,TPU,,,100.0,Mixed,3.96436,0.30183
Aged,TPU,,,100.0,Mixed,6.30245,0.34324
Aged,TPU,,,100.0,Mixed,8.51748,0.39906
Aged,TPU,,,100.0,Mixed,13.46438,0.45039
Aged,TPU,,,100.0,Mixed,18.23901,0.4945
Aged,TPU,,,100.0,Mixed,28.00975,0.52872
Aged,TPU,,,100.0,Mixed,38.002,0.54492
Aged,TPU,,,100.0,Mixed,48.06809,0.55393
Virgin,PS,15.0,,170.0,Mixed,0.1126913085,0.232167215
Virgin,PS,15.0,,170.0,Mixed,0.39034952,0.359931948
Virgin,PS,15.0,,170.0,Mixed,1.3423215295,0.6811689365
Virgin,PS,15.0,,170.0,Mixed,3.285930916499999,1.1776253495
Virgin,PS,15.0,,170.0,Mixed,4.9221324305,1.509813274
Virgin,PS,15.0,,170.0,Mixed,10.9512874315,1.7452653885
Virgin,PS,15.0,,170.0,Mixed,17.0597731685,1.847477302
Virgin,PS,25.0,,170.0,Mixed,0.1126913085,0.263196138
Virgin,PS,25.0,,170.0,Mixed,0.3407678099999999,0.4165136904999999
Virgin,PS,25.0,,170.0,Mixed,0.9754156044999999,0.8198846055
Virgin,PS,25.0,,170.0,Mixed,2.839693619999999,1.371097605
Virgin,PS,25.0,,170.0,Mixed,4.416397082,1.7507408565
Virgin,PS,25.0,,170.0,Mixed,9.840653314499999,2.0884048845
Virgin,PS,25.0,,170.0,Mixed,15.8598919735,2.2818765045
Virgin,PS,35.0,,170.0,Mixed,0.1126913085,0.3033502055
Virgin,PS,35.0,,170.0,Mixed,0.4795972335,0.5077740325
Virgin,PS,35.0,,170.0,Mixed,0.836586181,1.0352593685
Virgin,PS,35.0,,170.0,Mixed,2.423205985,1.719712569
Virgin,PS,35.0,,170.0,Mixed,3.7817492875,2.205218046
Virgin,PS,35.0,,170.0,Mixed,8.888681305,2.522804087
Virgin,PS,35.0,,170.0,Mixed,15.3640736025,2.741829162
Virgin,PS,25.0,6.0,,Single-ion,0.195734,0.0477254145
Virgin,PS,25.0,6.0,,Single-ion,0.327918,0.1262795695
Virgin,PS,25.0,6.0,,Single-ion,0.6583779999999999,0.2472050515
Virgin,PS,25.0,6.0,,Single-ion,1.8270625,0.5471394445
Virgin,PS,25.0,6.0,,Single-ion,4.487901,0.7466190815
Virgin,PS,25.0,6.0,,Mixed,0.210986,0.041059655
Virgin,PS,25.0,6.0,,Mixed,0.3971875,0.09485790749999999
Virgin,PS,25.0,6.0,,Mixed,0.7873844999999999,0.197215986
Virgin,PS,25.0,6.0,,Mixed,2.0609265,0.4771543715
Virgin,PS,25.0,6.0,,Mixed,4.7490915,0.6409278055
Virgin,PS,25.0,6.0,,Mixed,0.2319575,0.0315379585
Virgin,PS,25.0,6.0,,Mixed,0.451205,0.07057735899999999
Virgin,PS,25.0,6.0,,Mixed,0.856654,0.1643663555
Virgin,PS,25.0,6.0,,Mixed,2.3761345,0.3552762749999999
Virgin,PS,25.0,6.0,,Mixed,4.974694,0.54618683
Virgin,PS,25.0,6.0,,Mixed,0.2230605,0.029158011
Virgin,PS,25.0,6.0,,Mixed,0.477896,0.0620076415
Virgin,PS,25.0,6.0,,Mixed,0.979941,0.11437729
Virgin,PS,25.0,6.0,,Mixed,2.658932,0.241967896
Virgin,PS,25.0,6.0,,Mixed,5.305154,0.4128830789999999
Virgin,PS,25.0,6.0,,Mixed,0.270723,0.0196363145
Virgin,PS,25.0,6.0,,Mixed,0.499503,0.0510579765
Virgin,PS,25.0,6.0,,Mixed,1.048575,0.0891447625
Virgin,PS,25.0,6.0,,Mixed,2.7879385,0.196264007
Virgin,PS,25.0,6.0,,Mixed,5.559989499999999,0.313856927
Aged,PS,25.0,6.0,,Single-ion,0.1124835,0.0776587355
Aged,PS,25.0,6.0,,Single-ion,0.130913,0.1906595325
Aged,PS,25.0,6.0,,Single-ion,0.363506,0.321044432
Aged,PS,25.0,6.0,,Single-ion,1.456566,0.693367359
Aged,PS,25.0,6.0,,Single-ion,4.236243,0.889669496
Aged,PS,25.0,6.0,,Single-ion,9.758738,1.180863222
Aged,PS,25.0,6.0,,Mixed,0.130913,0.0704153065
Aged,PS,25.0,6.0,,Mixed,0.1862015,0.1884861225
Aged,PS,25.0,6.0,,Mixed,0.4734475,0.3282884965
Aged,PS,25.0,6.0,,Mixed,1.7253825,0.586885521
Aged,PS,25.0,6.0,,Mixed,4.4682005,0.7600084309999999
Aged,PS,25.0,6.0,,Mixed,10.2105785,1.002670293
Aged,PS,25.0,6.0,,Mixed,0.130913,0.05882505749999999
Aged,PS,25.0,6.0,,Mixed,0.2230605,0.1609600755
Aged,PS,25.0,6.0,,Mixed,0.4912415,0.3159737775
